Latitude,Longitude,Name
62.45501858,-114.3703624,A&W
62.45542357,-114.4099992,Mary Brown's Chicken & Taters
62.44629315,-114.4048494,McDonald's
62.44891347,-114.4097417,Tim Hortons
62.44617404,-114.4082826,KFC
62.45077931,-114.406566,Fatburger
62.44998535,-114.4092267,McDonald's
62.45368252,-114.3686173,Subway
62.44992513,-114.4046833,Quiznos
62.45445219,-114.3687658,Tim Hortons
62.45076341,-114.4069438,Subway
62.45139857,-114.4055705,Domino's Pizza
62.43575395,-114.4191317,Taste of the Islands
62.4557252,-114.4097762,Mary Brown's Chicken & Taters
62.47199372,-114.4378846,Quiznos
62.45259835,-114.3743635,Mainstreet Pizza
62.45263804,-114.3760801,Miss Saigon
62.45458304,-114.3665529,Boston Pizza
62.4552975,-114.3717886,Bento Sushi
62.45045473,-114.3701578,Bruno's Pizza
62.45442427,-114.3744494,Mark's Family Restaurant
62.44925926,-114.4071458,Pizza Hut
62.45470259,-114.3721869,Shawarma House
62.45672683,-114.368067,Vietnamese Noodle House
62.45545673,-114.3715003,Sushi North
62.45374995,-114.3684962,Korea House
62.45442474,-114.3679812,Kilt and Castle
62.45335301,-114.374676,Javaroma Gourmet Coffee & Tea
62.45549642,-114.3728735,A Taste of Saigon
62.44697437,-114.4103355,Stake Restaurant
62.46058927,-114.4124813,Gastown Grill
62.44661704,-114.4120521,Copperhouse
62.45615205,-114.3724967,Black Knight Pub
62.46575652,-114.3501605,Bullock's Bistro
62.45422461,-114.3709146,Gold Range Bistro
62.45640764,-114.3683397,Red Apple Restaurant
62.45700299,-114.3671381,Coyote's Bistro
62.44685164,-114.4098881,Monkey Tree Pub
